message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ;;;;message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
128;7.74404;0.000000;0.810686;2.074121;0.437686;2.249052;2.178200;0.015745;;;;128;7.74404;0.000000;0.810686;2.074121;0.437686;2.249052;2.178200;0.015745
129;7.80405;0.000000;0.810719;2.073889;0.437684;2.249061;2.178191;0.015745;;;;129;7.80405;0.000000;0.810719;2.073889;0.437684;2.249061;2.178191;0.015745
130;7.87308;0.000000;0.810758;2.073702;0.437681;2.249051;2.178201;0.015745;;;;130;7.87308;0.000000;0.810758;2.073702;0.437681;2.249051;2.178201;0.015745
131;7.94294;0.000000;0.810771;2.073506;0.437686;2.249076;2.178175;0.015745;;;;131;7.94294;0.000000;0.810771;2.073506;0.437686;2.249076;2.178175;0.015745
132;8.00821;0.000000;0.810776;2.073302;0.437692;2.249207;2.178040;0.015746;;;;132;8.00821;0.000000;0.810776;2.073302;0.437692;2.249207;2.178040;0.015746
133;8.06005;0.000000;0.810785;2.073107;0.437691;2.249185;2.178063;0.015746;;;;133;8.06005;0.000000;0.810785;2.073107;0.437691;2.249185;2.178063;0.015746
134;8.12006;0.000000;0.810803;2.072903;0.437690;2.249161;2.178087;0.015746;;;;134;8.12006;0.000000;0.810803;2.072903;0.437690;2.249161;2.178087;0.015746
135;8.18007;0.000000;0.810825;2.072716;0.437688;2.249116;2.178134;0.015745;;;;135;8.18007;0.000000;0.810825;2.072716;0.437688;2.249116;2.178134;0.015745
136;8.24298;0.000000;0.810844;2.072564;0.437693;2.249122;2.178127;0.015745;;;;136;8.24298;0.000000;0.810844;2.072564;0.437693;2.249122;2.178127;0.015745
137;8.30202;0.000000;0.810859;2.072422;0.437692;2.249165;2.178083;0.015746;;;;137;8.30202;0.000000;0.810859;2.072422;0.437692;2.249165;2.178083;0.015746
138;8.36203;0.000000;0.810870;2.072271;0.437691;2.249184;2.178064;0.015746;;;;138;8.36203;0.000000;0.810870;2.072271;0.437691;2.249184;2.178064;0.015746
139;8.43038;0.000000;0.810880;2.072102;0.437690;2.249188;2.178059;0.015746;;;;139;8.43038;0.000000;0.810880;2.072102;0.437690;2.249188;2.178059;0.015746
140;8.482;0.000000;0.810899;2.071959;0.437695;2.249100;2.178149;0.015745;;;;140;8.482;0.000000;0.810899;2.071959;0.437695;2.249100;2.178149;0.015745
141;8.54223;0.000000;0.810914;2.071808;0.437694;2.249035;2.178216;0.015744;;;;141;8.54223;0.000000;0.810914;2.071808;0.437694;2.249035;2.178216;0.015744
142;8.60202;0.000000;0.810920;2.071648;0.437693;2.249017;2.178234;0.015744;;;;142;8.60202;0.000000;0.810920;2.071648;0.437693;2.249017;2.178234;0.015744
143;8.67097;0.000000;0.810928;2.071515;0.437693;2.248978;2.178274;0.015744;;;;143;8.67097;0.000000;0.810928;2.071515;0.437693;2.248978;2.178274;0.015744
144;8.72405;0.000000;0.810935;2.071391;0.437692;2.248987;2.178265;0.015744;;;;144;8.72405;0.000000;0.810935;2.071391;0.437692;2.248987;2.178265;0.015744
145;8.78405;0.000000;0.810947;2.071266;0.437691;2.249044;2.178206;0.015744;;;;145;8.78405;0.000000;0.810947;2.071266;0.437691;2.249044;2.178206;0.015744
146;8.84401;0.000000;0.810966;2.071132;0.437690;2.249100;2.178149;0.015745;;;;146;8.84401;0.000000;0.810966;2.071132;0.437690;2.249100;2.178149;0.015745
147;8.90605;0.000000;0.810973;2.070999;0.437695;2.249156;2.178091;0.015745;;;;147;8.90605;0.000000;0.810973;2.070999;0.437695;2.249156;2.178091;0.015745
