message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
241;14.5139;0.000000;0.775568;2.081832;0.436254;-0.987928;2.951671;-0.181657
242;14.5739;0.000000;0.775628;2.081626;0.437068;-0.979564;2.950741;-0.179071
243;14.6339;0.000000;0.775679;2.081412;0.437772;-0.971266;2.949835;-0.176342
244;14.694;0.000000;0.775722;2.081216;0.438437;-0.963119;2.949080;-0.174087
245;14.7539;0.000000;0.775783;2.081027;0.439207;-0.955038;2.948388;-0.171475
246;14.8139;0.000000;0.775852;2.080830;0.439951;-0.946859;2.947483;-0.168691
247;14.874;0.000000;0.775863;2.080659;0.440619;-0.938939;2.946951;-0.166461
248;14.934;0.000000;0.775919;2.080505;0.441228;-0.931074;2.946301;-0.163734
249;14.994;0.000000;0.776001;2.080341;0.441847;-0.923306;2.945832;-0.161545
250;15.0539;0.000000;0.776047;2.080161;0.442499;-0.915545;2.945270;-0.159054
251;15.1139;0.000000;0.776112;2.079989;0.443071;-0.907874;2.944853;-0.156531
252;15.1739;0.000000;0.776185;2.079833;0.443670;-0.900262;2.944468;-0.154421
253;15.2339;0.000000;0.776234;2.079679;0.444298;-0.892704;2.944173;-0.152213
254;15.2939;0.000000;0.776280;2.079524;0.444815;-0.885236;2.943937;-0.150016
255;15.354;0.000000;0.776339;2.079395;0.445316;-0.877786;2.943616;-0.147510
256;15.414;0.000000;0.776382;2.079283;0.445860;-0.870456;2.943395;-0.145286
257;15.476;0.000000;0.776450;2.079145;0.446402;-0.863164;2.943269;-0.143261
258;15.536;0.000000;0.776540;2.079023;0.446885;-0.855895;2.943243;-0.141301
259;15.602;0.000000;0.776587;2.078911;0.447350;-0.848677;2.943286;-0.139352
260;15.6619;0.000000;0.776628;2.078816;0.447801;-0.841503;2.943157;-0.137070
261;15.7219;0.000000;0.776704;2.078694;0.448219;-0.834383;2.943255;-0.135092
262;15.7819;0.000000;0.776755;2.078591;0.448664;-0.827340;2.943312;-0.133207
263;15.8419;0.000000;0.776783;2.078496;0.449038;-0.820460;2.943350;-0.130980
264;15.9019;0.000000;0.776847;2.078383;0.449493;-0.813468;2.943472;-0.128971
265;15.962;0.000000;0.776917;2.078296;0.449922;-0.806521;2.943627;-0.127056
266;16.0219;0.000000;0.776993;2.078217;0.450282;-0.799687;2.943792;-0.124889
267;16.0819;0.000000;0.777038;2.078139;0.450668;-0.792985;2.944075;-0.122974
268;16.1419;0.000000;0.777107;2.078068;0.450958;-0.786254;2.944282;-0.121014
269;16.2039;0.000000;0.777183;2.078006;0.451220;-0.779613;2.944648;-0.119259
270;16.264;0.000000;0.777223;2.077911;0.451648;-0.772960;2.944989;-0.117541
271;16.328;0.000000;0.777291;2.077841;0.451963;-0.766422;2.945337;-0.115703
272;16.388;0.000000;0.777328;2.077789;0.452255;-0.759940;2.945760;-0.113913
273;16.4479;0.000000;0.777386;2.077744;0.452540;-0.753533;2.946140;-0.112189
274;16.5079;0.000000;0.777464;2.077690;0.452779;-0.747122;2.946532;-0.110421
275;16.5679;0.000000;0.777523;2.077654;0.453109;-0.740782;2.946991;-0.108673
276;16.6279;0.000000;0.777584;2.077618;0.453336;-0.734487;2.947477;-0.106967
277;16.6879;0.000000;0.777667;2.077590;0.453530;-0.728187;2.948016;-0.105326
278;16.7479;0.000000;0.777724;2.077562;0.453798;-0.721904;2.948525;-0.103654
279;16.808;0.000000;0.777771;2.077535;0.454027;-0.715630;2.949175;-0.102206
280;16.868;0.000000;0.777818;2.077508;0.454237;-0.709320;2.949788;-0.100701
281;16.9279;0.000000;0.777895;2.077489;0.454418;-0.703129;2.950389;-0.099186
282;16.9879;0.000000;0.777945;2.077478;0.454589;-0.697100;2.951068;-0.097883
283;17.048;0.000000;0.777979;2.077469;0.454779;-0.691124;2.951758;-0.096631
284;17.1079;0.000000;0.778025;2.077459;0.454971;-0.685169;2.952382;-0.095109
285;17.1679;0.000000;0.778100;2.077448;0.455158;-0.679238;2.952798;-0.092290
286;17.2279;0.000000;0.778180;2.077437;0.455331;-0.673293;2.953373;-0.090041
287;17.2879;0.000000;0.778229;2.077426;0.455504;-0.667472;2.954082;-0.088496
288;17.3479;0.000000;0.778247;2.077426;0.455627;-0.661702;2.954836;-0.087117
289;17.4079;0.000000;0.778274;2.077425;0.455723;-0.656016;2.955573;-0.085452
290;17.4679;0.000000;0.778351;2.077422;0.455816;-0.650346;2.956354;-0.083987
291;17.5279;0.000000;0.778433;2.077420;0.455943;-0.644630;2.957203;-0.082715
292;17.588;0.000000;0.778511;2.077417;0.456060;-0.638904;2.957991;-0.080888
293;17.648;0.000000;0.778540;2.077425;0.456158;-0.633274;2.958821;-0.079547
294;17.708;0.000000;0.778557;2.077424;0.456247;-0.627697;2.959644;-0.077920
295;17.768;0.000000;0.778592;2.077431;0.456355;-0.622129;2.960527;-0.076614
296;17.828;0.000000;0.778657;2.077438;0.456429;-0.616672;2.961368;-0.075033
297;17.8879;0.000000;0.778734;2.077452;0.456483;-0.611206;2.962252;-0.073716
