message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
301;18.2421;0.000000;0.778840;2.077645;0.456796;-0.589615;2.965665;-0.067763
302;18.302;0.000000;0.778890;2.077695;0.456873;-0.584454;2.966433;-0.066018
303;18.362;0.000000;0.778943;2.077761;0.456909;-0.579214;2.967338;-0.064568
304;18.422;0.000000;0.779018;2.077810;0.456898;-0.574080;2.968451;-0.063145
305;18.482;0.000000;0.779051;2.077877;0.456922;-0.568884;2.969655;-0.062383
306;18.542;0.000000;0.779069;2.077928;0.456955;-0.563709;2.970650;-0.060995
307;18.602;0.000000;0.779090;2.077987;0.456961;-0.558583;2.971799;-0.060028
308;18.662;0.000000;0.779109;2.078029;0.456947;-0.553547;2.972757;-0.058461
309;18.722;0.000000;0.779138;2.078063;0.456909;-0.548477;2.973879;-0.057379
310;18.782;0.000000;0.779156;2.078096;0.456900;-0.543397;2.974877;-0.056366
311;18.842;0.000000;0.779175;2.078130;0.456851;-0.538436;2.976058;-0.055011
312;18.902;0.000000;0.779190;2.078181;0.456870;-0.533520;2.976993;-0.053539
313;18.962;0.000000;0.779210;2.078223;0.456920;-0.528541;2.978081;-0.052430
314;19.022;0.000000;0.779236;2.078265;0.456934;-0.523705;2.979236;-0.051616
315;19.082;0.000000;0.779264;2.078306;0.456923;-0.518875;2.980168;-0.050081
316;19.1419;0.000000;0.779284;2.078348;0.456887;-0.514082;2.981321;-0.048794
317;19.202;0.000000;0.779303;2.078390;0.456871;-0.509306;2.982487;-0.047787
318;19.2619;0.000000;0.779321;2.078433;0.456855;-0.504610;2.983535;-0.046500
319;19.322;0.000000;0.779334;2.078483;0.456826;-0.499918;2.984511;-0.045200
320;19.382;0.000000;0.779346;2.078526;0.456771;-0.495198;2.985680;-0.044034
321;19.442;0.000000;0.779364;2.078559;0.456730;-0.490519;2.986984;-0.043367
